"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse"
376,0.01,1,500,0.2,1.71275855694178
409,0.1,2,100,0.1,1.7227057617984
312,0.04,3,100,0.2,1.7613813334551
210,0.14,2,100,0.3,1.79436238810514
113,0.06,3,100,0.4,1.80113525211545
427,0.04,1,200,0.1,1.83971942982837
8,0.06,2,100,0.5,1.91574527296518
267,0.04,4,400,0.3,1.97002954767175
309,0.1,2,100,0.2,1.98430580096061
147,0.04,5,200,0.4,2.01386924294524
472,0.04,5,400,0.1,2.0168542840112
124,0.1,5,100,0.4,2.05328171356962
430,0.14,1,200,0.1,2.05412287481076
438,0.06,3,200,0.1,2.086835484738
107,0.04,2,100,0.4,2.11450386851612
242,0.04,4,200,0.3,2.14138311558516
437,0.04,3,200,0.1,2.1608029406714
342,0.04,4,200,0.2,2.19827927723296
448,0.06,5,200,0.1,2.23228392629497
215,0.14,3,100,0.3,2.23825955089143
132,0.04,2,200,0.4,2.26078115675857
123,0.06,5,100,0.4,2.35836395499808
119,0.1,4,100,0.4,2.37960203622612
286,0.01,3,500,0.3,2.51072523207688
405,0.14,1,100,0.1,2.52761648790855
208,0.06,2,100,0.3,2.56445468518848
219,0.1,4,100,0.3,2.57449334668489
